source_file,service_code,line_name,vehicle_journey_code,line_ref,route_description,direction,scheduled_departure_time,operating_days,scheduled_duration_minutes,operating_day,calendar_date,hour,delay_minutes,synthetic_latitude,synthetic_longitude
38-None--SCMY-RF-2026-03-29-Birkenhead_March_2026-Refresh2__SCMY_PC1033334_185_20260329-BODS_V1_1.xml,PC1033334:185,38,VJ329,SCMY:PC1033334:185:38,Birkenhead Bus Station - Eastham Ferry,inbound,06:17:00,"Monday,Tuesday,Wednesday,Thursday,Friday",58.0,Wednesday,2026-01-07,6,12.93,53.35135947559101,-2.656569012906092
CH84-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_535_20260405-BODS_V1_1.xml,PC1033334:535,84,VJ1292,SCMY:PC1033334:535:84,"Crewe Bus Station, 5 - Chester Bus Interchange",inbound,19:35:00,"Monday,Tuesday,Wednesday,Thursday,Friday",72.0,Tuesday,2025-08-12,19,-1.52,53.467972761568454,-2.8750568207460616
217-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_113_20260719-BODS_V1_1.xml,PC1033334:113,217,VJ2582,SCMY:PC1033334:113:217,Tower Hill - Huyton,outbound,12:45:00,"Monday,Tuesday,Wednesday,Thursday,Friday",57.0,Friday,2025-10-31,12,5.67,53.37400106488111,-2.7197760392328494
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3257,SCMY:PC1033334:15:21,Northwood - Liverpool,inbound,17:54:00,"Monday,Tuesday,Wednesday,Thursday,Friday",79.0,Thursday,2025-10-30,17,20.39,53.308681364476584,-2.754925547537863
86C-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_120_20260103-BODS_V1_1.xml,PC1033334:120,86,VJ1885,SCMY:PC1033334:120:86C,Liverpool ONE - Hope Uni,outbound,20:20:00,"Monday,Tuesday,Wednesday,Thursday,Friday",86.0,Thursday,2026-04-09,20,-0.86,53.301113329863774,-2.8880765802794226
CH84-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_535_20260405-BODS_V1_1.xml,PC1033334:535,84,VJ1254,SCMY:PC1033334:535:84,"Chester Interchange, Stand L - Crewe Bus Station, 5",outbound,08:57:00,"Monday,Tuesday,Wednesday,Thursday,Friday",92.0,Wednesday,2026-07-01,8,4.52,53.39506659122646,-2.8248481085472594
82-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_106_20260103-BODS_V1_1.xml,PC1033334:106,82,VJ2744,SCMY:PC1033334:106:82,Paradise St - Garston Speke RdR,inbound,18:05:00,"Monday,Tuesday,Wednesday,Thursday,Friday",31.0,Friday,2025-08-08,18,6.18,53.45475392652389,-2.879504241276675
ME14-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_3_20260719-BODS_V1_1.xml,PC1033334:3,14,VJ513,SCMY:PC1033334:3:14,Liverpool - Croxteth,outbound,16:01:00,"Monday,Tuesday,Wednesday,Thursday,Friday",43.0,Friday,2026-07-31,16,8.82,53.368852402837696,-2.7194724986342855
19-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_14_20260103-BODS_V1_1.xml,PC1033334:14,19,VJ1152,SCMY:PC1033334:14:19,Kirkby - Liverpool,outbound,05:35:00,Saturday,50.0,Saturday,2026-06-27,5,-0.53,53.34919339338393,-2.7974206828980903
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3163,SCMY:PC1033334:15:20,Paradise St - Towerhill,outbound,11:31:00,"Monday,Tuesday,Wednesday,Thursday,Friday",60.0,Friday,2026-04-03,11,3.56,53.466696584322406,-2.8932483878278483
X2-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_224_20260719-BODS_V1_1.xml,PC1033334:224,2,VJ1126,SCMY:PC1033334:224:2,Chester - Ellesmere Port - Cheshire Oaks,outbound,23:00:00,Saturday,38.0,Saturday,2025-10-11,23,-0.99,53.47627529397498,-2.7709645748589278
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3014,SCMY:PC1033334:15:21,Queen Square Bus Station - Minstead Avenue,outbound,14:30:00,Sunday,54.0,Sunday,2026-02-01,14,1.14,53.341811893891155,-2.6962048399451666
CH53-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_188_20260405-BODS_V1_1.xml,PC1033334:188,52,VJ546,SCMY:PC1033334:188:53,Kingsway - Chester Bus Interchange,inbound,17:11:00,"Monday,Tuesday,Wednesday,Thursday,Friday",11.0,Tuesday,2025-11-04,17,1.79,53.45748439179793,-2.681166640120455
10A-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_5_20260719-BODS_V1_1.xml,PC1033334:5,10A,VJ2851,SCMY:PC1033334:5:10A,Liverpool - St Helens,outbound,16:23:00,"Monday,Tuesday,Wednesday,Thursday,Friday",100.0,Monday,2026-06-22,16,0.45,53.42680289487926,-2.950614560855384
CH61-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_430_20260405-BODS_V1_1.xml,PC1033334:430,61,VJ1390,SCMY:PC1033334:430:61,Chester - Higher Kinnerton,inbound,14:52:00,Saturday,33.0,Saturday,2026-02-21,14,1.19,53.46988609740664,-2.9615026252325722
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3134,SCMY:PC1033334:15:21,Northwood - Liverpool,inbound,09:39:00,"Monday,Tuesday,Wednesday,Thursday,Friday",68.0,Tuesday,2025-11-11,9,-0.88,53.46738762923483,-2.965702369293285
86C-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_120_20260719-BODS_V1_1.xml,PC1033334:120,86,VJ1437,SCMY:PC1033334:120:86,Liverpool ONE - South Parkway,outbound,13:38:00,"Monday,Tuesday,Wednesday,Thursday,Friday",43.0,Friday,2025-09-26,13,3.57,53.3650570676681,-2.780239120432509
82-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_106_20260103-BODS_V1_1.xml,PC1033334:106,82,VJ2640,SCMY:PC1033334:106:82,Paradise St - Garston Speke RdR,inbound,09:00:00,"Monday,Tuesday,Wednesday,Thursday,Friday",38.0,Wednesday,2025-11-19,9,-1.21,53.41234407597702,-2.899715380922999
ME14-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_3_20260719-BODS_V1_1.xml,PC1033334:3,14,VJ409,SCMY:PC1033334:3:14,Croxteth - Liverpool,inbound,20:15:00,Sunday,31.0,Sunday,2026-07-19,20,1.5,53.30667237610025,-2.9059159986429037
RF16-None--SCMY-RF-2026-03-29-Birkenhead_June_2026_17_change_and___SCMY_PC1033334_450_20260621-BODS_V1_1.xml,PC1033334:450,16,VJ12,SCMY:PC1033334:450:16,Moreton Cross - Eastham Rake Railway Station,outbound,08:08:00,"Monday,Tuesday,Wednesday,Thursday,Friday",77.0,Wednesday,2026-04-22,8,5.87,53.46737228852787,-2.657941588796115
5-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_198_20260719-BODS_V1_1.xml,PC1033334:198,5,VJ1544,SCMY:PC1033334:198:5,Chester - Wrexham,inbound,16:39:00,"Monday,Tuesday,Wednesday,Thursday,Friday",62.0,Monday,2026-03-23,16,2.3,53.46474363509888,-2.965044343361469
82-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_106_20260103-BODS_V1_1.xml,PC1033334:106,82,VJ2689,SCMY:PC1033334:106:82,Paradise St - Garston,outbound,13:08:00,"Monday,Tuesday,Wednesday,Thursday,Friday",37.0,Thursday,2026-06-25,13,3.46,53.3559671732239,-2.728134935101873
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3205,SCMY:PC1033334:15:21,Queen Square Bus Station - Minstead Avenue,outbound,14:07:00,"Monday,Tuesday,Wednesday,Thursday,Friday",60.0,Monday,2026-05-04,14,7.69,53.39235864454889,-2.6627498426109124
CH84-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_535_20260405-BODS_V1_1.xml,PC1033334:535,84,VJ1273,SCMY:PC1033334:535:84,"Crewe Bus Station, 5 - Chester Bus Interchange",inbound,13:48:00,"Monday,Tuesday,Wednesday,Thursday,Friday",86.0,Friday,2026-03-20,13,5.36,53.36433291903915,-2.702003410752307
82-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_106_20260103-BODS_V1_1.xml,PC1033334:106,82,VJ2695,SCMY:PC1033334:106:82,Paradise St - Garston,outbound,13:38:00,"Monday,Tuesday,Wednesday,Thursday,Friday",37.0,Friday,2025-12-05,13,6.9,53.30203793477306,-2.8253349515780464
CH84-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_535_20260719-BODS_V1_1.xml,PC1033334:535,84,VJ1366,SCMY:PC1033334:535:84,"Crewe Bus Station, 5 - Chester Bus Interchange",inbound,09:18:00,"Monday,Tuesday,Wednesday,Thursday,Friday",86.0,Wednesday,2025-11-05,9,6.48,53.40478200179037,-2.742174022275756
CHPR2-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-F__SCMY_PC1033334_382_20260405-BODS_V1_1.xml,PC1033334:382,PR2,VJ351,SCMY:PC1033334:382:PR2,Boughton Heath PR - Chester,outbound,07:00:00,"Monday,Tuesday,Wednesday,Thursday,Friday",20.0,Monday,2026-01-05,7,1.94,53.34486902297354,-2.8825425899474015
20-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_15_20260719-BODS_V1_1.xml,PC1033334:15,20,VJ730,SCMY:PC1033334:15:20,Towerhill - Liverpool,inbound,12:46:00,Sunday,56.0,Sunday,2026-01-25,12,-1.29,53.38918742730424,-2.8275803662686876
722-None--SCMY-GM-2026-02-01-Gillmoss_February_2026_1__SCMY_PC1033334_571_20260222-BODS_V1_1.xml,PC1033334:571,722,VJ4,SCMY:PC1033334:571:722,Hunt Road - Highfield,inbound,15:11:00,"Monday,Tuesday,Wednesday,Thursday,Friday",35.0,Wednesday,2025-08-27,15,5.4,53.37027451200693,-2.6948105632076658
86C-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_120_20260719-BODS_V1_1.xml,PC1033334:120,86,VJ1507,SCMY:PC1033334:120:86,Liverpool ONE - South Parkway,outbound,22:35:00,"Monday,Tuesday,Wednesday,Thursday,Friday",41.0,Friday,2025-10-31,22,2.18,53.46874819573391,-2.760785551256988
10A-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_5_20260719-BODS_V1_1.xml,PC1033334:5,10A,VJ2944,SCMY:PC1033334:5:10A,St Helens - Liverpool,inbound,16:40:00,Saturday,80.0,Saturday,2026-06-06,16,3.0,53.3567060096084,-2.6800074150264623
82-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_106_20260103-BODS_V1_1.xml,PC1033334:106,82,VJ2683,SCMY:PC1033334:106:82,Paradise St - Garston,outbound,12:38:00,"Monday,Tuesday,Wednesday,Thursday,Friday",39.0,Monday,2025-09-08,12,-0.39,53.456224937628676,-2.73931371700849
217-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_113_20260719-BODS_V1_1.xml,PC1033334:113,217,VJ2577,SCMY:PC1033334:113:217,Huyton - Tower Hill,inbound,11:20:00,"Monday,Tuesday,Wednesday,Thursday,Friday",53.0,Thursday,2025-11-27,11,-0.27,53.47847849034279,-2.658914809303423
CH61-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_430_20260719-BODS_V1_1.xml,PC1033334:430,61,VJ5,SCMY:PC1033334:430:62,"Dodleston, Primary School - Chester Bus Interchange",inbound,10:38:00,"Monday,Tuesday,Wednesday,Thursday,Friday",31.0,Thursday,2025-10-02,10,-1.0,53.45848546584072,-2.7353440080371803
CH84-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_535_20260405-BODS_V1_1.xml,PC1033334:535,84,VJ1347,SCMY:PC1033334:535:84,Crewe Bus Station - Nantwich Bus Station,inbound,19:10:00,Saturday,20.0,Saturday,2026-04-11,19,3.89,53.41801861680555,-2.96375038479991
17-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_12_20260719-BODS_V1_1.xml,PC1033334:12,17,VJ2241,SCMY:PC1033334:12:17,Liverpool - Aintree Hosp,outbound,10:31:00,"Monday,Tuesday,Wednesday,Thursday,Friday",35.0,Monday,2026-02-02,10,1.1,53.369959920200166,-2.883676109298348
217-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_113_20260719-BODS_V1_1.xml,PC1033334:113,217,VJ2597,SCMY:PC1033334:113:217,Huyton - Tower Hill,inbound,16:30:00,"Monday,Tuesday,Wednesday,Thursday,Friday",65.0,Monday,2026-02-09,16,-0.38,53.33280177071159,-2.6643770525846246
CH26-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_526_20260405-BODS_V1_1.xml,PC1033334:526,26,VJ22,SCMY:PC1033334:526:26,Guilden Sutton - Ellesmere Port,inbound,14:10:00,Saturday,58.0,Saturday,2025-12-13,14,8.9,53.32131601575817,-2.73409963444707
17-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_12_20260719-BODS_V1_1.xml,PC1033334:12,17,VJ2207,SCMY:PC1033334:12:17,Liverpool - Aintree Hosp,outbound,06:57:00,"Monday,Tuesday,Wednesday,Thursday,Friday",34.0,Friday,2026-05-29,6,-0.42,53.47518453599223,-2.9380475762349905
CH61-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_430_20260405-BODS_V1_1.xml,PC1033334:430,61,VJ1363,SCMY:PC1033334:430:61,Chester - Higher Kinnerton,outbound,08:55:00,"Monday,Tuesday,Wednesday,Thursday,Friday",31.0,Wednesday,2025-10-01,8,1.63,53.4678729810834,-2.6522540883529415
5-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Final__SCMY_PC1033334_198_20260405-BODS_V1_1.xml,PC1033334:198,5,VJ1856,SCMY:PC1033334:198:5,Chester - Wrexham,outbound,17:43:00,Saturday,23.0,Saturday,2025-08-02,17,0.57,53.418222115453844,-2.7034057496797423
10A-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_5_20260719-BODS_V1_1.xml,PC1033334:5,10A,VJ2813,SCMY:PC1033334:5:10A,St Helens - Liverpool,inbound,09:52:00,"Monday,Tuesday,Wednesday,Thursday,Friday",85.0,Friday,2025-10-03,9,31.42,53.42642422582038,-2.916341982680198
X2-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fina__SCMY_PC1033334_224_20260405-BODS_V1_1.xml,PC1033334:224,2,VJ698,SCMY:PC1033334:224:2,Chester - Ellesmere Port - Runcorn,inbound,18:35:00,"Monday,Tuesday,Wednesday,Thursday,Friday",30.0,Monday,2025-10-06,18,8.96,53.47603676039534,-2.7858889473247377
10A-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_5_20260719-BODS_V1_1.xml,PC1033334:5,10A,VJ2825,SCMY:PC1033334:5:10A,Liverpool - St Helens,outbound,11:41:00,"Monday,Tuesday,Wednesday,Thursday,Friday",83.0,Monday,2026-06-01,11,1.65,53.35545650389072,-2.9107206870928057
217-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_113_20260719-BODS_V1_1.xml,PC1033334:113,217,VJ2617,SCMY:PC1033334:113:217,Kirkby - Halewood,outbound,20:30:00,"Monday,Tuesday,Wednesday,Thursday,Friday",61.0,Thursday,2026-06-04,20,-0.88,53.45600305936375,-2.7975502241296706
20-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_15_20260719-BODS_V1_1.xml,PC1033334:15,20,VJ914,SCMY:PC1033334:15:21,Queen Square Bus Station - Minstead Avenue,outbound,12:52:00,"Monday,Tuesday,Wednesday,Thursday,Friday",61.0,Thursday,2025-11-20,12,0.88,53.4772987208862,-2.785068602289016
CH7-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_203_20260719-BODS_V1_1.xml,PC1033334:203,7,VJ1639,SCMY:PC1033334:203:7,"Vicar's Cross, Queens Road - Chester Bus Interchange",inbound,09:08:00,"Monday,Tuesday,Wednesday,Thursday,Friday",14.0,Monday,2026-01-19,9,2.83,53.397436035506395,-2.803195306227592
82-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_106_20260103-BODS_V1_1.xml,PC1033334:106,82,VJ2612,SCMY:PC1033334:106:82,Paradise St - Garston Speke RdR,inbound,06:30:00,"Monday,Tuesday,Wednesday,Thursday,Friday",34.0,Monday,2025-11-17,6,0.1,53.32153546043409,-2.8681577946141035
17-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_12_20260103-BODS_V1_1.xml,PC1033334:12,17,VJ744,SCMY:PC1033334:12:17,Liverpool - Kirby Ind Est,inbound,15:36:00,"Monday,Tuesday,Wednesday,Thursday,Friday",49.0,Wednesday,2025-08-13,15,0.08,53.40636269543941,-2.673774624318076
5-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Final__SCMY_PC1033334_198_20260405-BODS_V1_1.xml,PC1033334:198,5,VJ1729,SCMY:PC1033334:198:5,Chester - Wrexham,inbound,06:04:00,"Monday,Tuesday,Wednesday,Thursday,Friday",16.0,Wednesday,2026-02-18,6,0.77,53.34197465218997,-2.803349965099434
CH14-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_197_20260719-BODS_V1_1.xml,PC1033334:197,14,VJ1157,SCMY:PC1033334:197:14C,Chester - Blacon Parade,outbound,05:55:00,"Monday,Tuesday,Wednesday,Thursday,Friday",34.0,Friday,2026-07-24,5,0.5,53.468820337694055,-2.6523740537163176
5-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Final__SCMY_PC1033334_198_20260405-BODS_V1_1.xml,PC1033334:198,5,VJ1722,SCMY:PC1033334:198:5,Chester - Wrexham,outbound,20:06:00,"Monday,Tuesday,Wednesday,Thursday",19.0,Thursday,2026-04-23,20,1.35,53.36686280683529,-2.9603273007166364
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3203,SCMY:PC1033334:15:20,Paradise St - Towerhill,outbound,14:01:00,"Monday,Tuesday,Wednesday,Thursday,Friday",61.0,Monday,2026-04-20,14,1.1,53.40561917787957,-2.794433666150254
53-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_19_20260103-BODS_V1_1.xml,PC1033334:19,53,VJ2146,SCMY:PC1033334:19:53,Queen Square - Crosby,inbound,09:00:00,"Monday,Tuesday,Wednesday,Thursday,Friday",54.0,Tuesday,2025-08-05,9,11.49,53.346403323727756,-2.6514875047393294
ME14-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_3_20260103-BODS_V1_1.xml,PC1033334:3,14,VJ208,SCMY:PC1033334:3:14,Croxteth - Liverpool,inbound,20:15:00,"Monday,Tuesday,Wednesday,Thursday,Friday",31.0,Thursday,2025-08-21,20,3.48,53.3919043352576,-2.673722013276176
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3409,SCMY:PC1033334:15:21,Northwood - Liverpool,inbound,13:27:00,Saturday,73.0,Saturday,2025-08-23,13,-0.07,53.347840536854186,-2.726387208708302
10A-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_5_20260719-BODS_V1_1.xml,PC1033334:5,10A,VJ2825,SCMY:PC1033334:5:10A,Liverpool - St Helens,outbound,11:41:00,"Monday,Tuesday,Wednesday,Thursday,Friday",83.0,Monday,2025-09-29,11,11.26,53.4108854703709,-2.800682509178854
