route_description,predicted_avg_delay,service_reliability_rate,trip_count,headway_irregularity,norm_delay,norm_headway,route_risk_score
Tower Hill - Kirkby HS,7.868858671705438,0.0,522,0.5,0.6969461540240931,0.1279098420962254,0.6304505375361029
Ormskirk Bus St - St Helens Bridge St,7.73896560786613,0.0,269,0.5,0.6845546252233644,0.1279098420962254,0.6242547731357386
Park Lane - Lupton Drive,7.642738344031911,0.0,215,0.5,0.6753747438965818,0.1279098420962254,0.6196648324723473
Boathouse Lane - Beresford Road,7.54125012592442,0.0,149,0.5,0.6656929784470472,0.1279098420962254,0.61482394974758
Newton-le-Willows Station - Hope Academy,7.592140355260817,0.011494252873563218,261,0.5,0.6705478007436232,0.1279098420962254,0.6143777976774771
Liverpool - Northwood,6.22450540473942,0.000384172109104879,2603,1.4426187017218257,0.540078263900344,0.3690502606846009,0.6122056540940459
Liverpool ONE Bus Station - Liverpool ONE Bus Station,6.5765864018845575,0.0,783,1.1337083929767786,0.5736660605644562,0.2900249230576505,0.6093392610466407
"Runcorn Halton Lea, Shopping City - South - Chester Bus Interchange",7.27975784985637,0.0,2782,0.3855574476709605,0.6407471578289892,0.09863318450123251,0.5950318750398027
Knowsley - Liverpool,5.828498578895794,0.0,594,1.4661134463152163,0.5023000343114484,0.3750606788266644,0.5949151868623903
Chester Bus Interchange - Kingsway,7.027320545836001,0.0,8870,0.5574218749000225,0.6166651627579014,0.14259948799888758,0.5939824533786726
Chester - Ellesmere Port - Runcorn,6.900694560342568,0.00010049241282283188,9951,0.6091912469556633,0.6045853064531516,0.15584311240900312,0.5912283082256209
Rainford Station - Windsor Road,7.074770543113435,0.007246376811594203,138,0.5,0.6211917940535125,0.1279098420962254,0.5907617633479141
Bank Lane - Maghull High School,6.9004527617279,0.0,261,0.5,0.6045622393669726,0.1279098420962254,0.5842585802075426
Towerhill - Liverpool,6.053240565934424,0.0,28668,0.9328821920157419,0.5237399536020381,0.23864962775022838,0.5715323837385762
Guilden Sutton - Ellesmere Port,6.219784545525679,0.0,2171,0.7857326394849606,0.5396279037257342,0.20100587569274347,0.5700654207860529
Liverpool ONE Bus Station - Bootle Strand Shopping Centre,6.554044934057567,0.0038314176245210726,261,0.5,0.5715156513006143,0.1279098420962254,0.5667774317682333
Ellesmere Port - Loxdale Drive (Circular),6.276732919502202,0.0,1533,0.6686245759238976,0.5450606604521269,0.17104732785616286,0.5652921621901041
Chester Bus Interchange - Liverpool,4.631198996044055,0.0,1054,1.8477494188234673,0.3880801381485402,0.472690672790204,0.5622127372718211
"Neston, Brook Street - Ellesmere Port",6.6267280999093305,0.0,1926,0.34550770457549634,0.5784494745268837,0.08838767187056208,0.5613216552310824
"Vicar's Cross, Queens Road - Chester Bus Interchange",6.479931460117105,0.0,9300,0.45401714673051397,0.564445379650148,0.1161465230945577,0.5612593205987134
Black Bull - Maghull High School,6.395956899583762,0.0,261,0.5,0.5564343807975475,0.1279098420962254,0.5601946509228302
Christleton High School - Chester Bus Interchange,6.361452122013788,0.0,261,0.5,0.5531426966045407,0.1279098420962254,0.5585488088263267
The Gerard Centre - Rainford Station,6.808341401391399,0.0027100271002710027,1476,0.1425393290199597,0.5957750066945946,0.03646436613488993,0.5563260881059521
Mill Park - Arrowe Park Hospital,4.950863680258496,0.013433425523508494,10124,1.522069012325327,0.41857548581328885,0.38937521405218073,0.5532731900388125
Rainford High School - Denton's Green Lane,6.231180136801406,0.0,261,0.5,0.5407150194909701,0.1279098420962254,0.5523349702695415
"Pipers Ash, Crossley Crescent - Chester Bus Interchange",6.250621187313312,0.0,7096,0.4712229660035219,0.5425696553753984,0.12054811034725098,0.5514218552745119
Wallasey Village - Hoylake Station,6.205030769842993,0.0,104,0.5,0.53822042413531,0.1279098420962254,0.5510876725917113
Rainhill Stoops - De La Salle School,6.128615963027913,0.0,261,0.5,0.5309306101031874,0.1279098420962254,0.5474427655756501
St Helens - Liverpool,5.802710607499489,0.0,23695,0.7340860190902704,0.49983991534262495,0.1877936535737664,0.546868371064754
"Liverpool, Sir Thomas Street - Chester Bus Interchange, Stand K",5.636807092258523,0.0007027406886858749,1423,0.8508895530121171,0.48401306418917295,0.21767429673421546,0.5462494211059689
Freckleton Road - Newton-le-Willows Station,6.093429019369285,0.0,261,0.5,0.5275738486806152,0.1279098420962254,0.545764384864364
"Chester Interchange, Stand L - Crewe Bus Station, 5",5.981982035119682,0.0,9252,0.5617555955141017,0.5169420376026059,0.14370813903775964,0.5443980535607429
West Kirby - Eastham Ferry,5.929753997598849,0.0,1569,0.59452634060888,0.5119595911807895,0.15209154069865713,0.5440026807650591
Port Sunlight - West Kirby,5.705956368645882,0.031496062992125984,508,0.8339674634563427,0.49060976169230947,0.21334529312818087,0.5407671883801685
Eastham Ferry - West Kirby,5.69327762042885,0.00047036688617121356,2126,0.6809534800745709,0.4894002354170427,0.1742013042224271,0.5381328520425853
Captains Lane - Chestnut Grove,5.884419367519434,0.0,261,0.5,0.5076347615271105,0.1279098420962254,0.5357948412876117
Birkenhead Bus Station - Chester Railway Station,5.65323485798759,0.0,411,0.6516724801143329,0.48558023895698954,0.16671064805975985,0.5344677814934347
Liverpool Rd - Rainford High,5.842958885756813,0.0,783,0.5,0.5036795175851463,0.1279098420962254,0.5338172193166295
"Bayweaver Street - Ellesmere Port Bus Interchange, Stand G",6.413261708571545,0.0011746280344557558,2554,0.07159720451543283,0.5580852236726412,0.018315974248200344,0.5333279483897568
Liverpool - Kirby Ind Est,4.599118733376422,7.988071147087016e-05,37556,1.4044387872529638,0.3850197476470682,0.35928308702268186,0.5323106754013368
Birkenhead Bus Station - Eastham Ferry,4.867422229740507,0.0,365,1.1966422450849268,0.4106153445501082,0.3061246412289713,0.5318388325822969
Chester - Saltney,4.994389985977654,0.0,17298,1.0963070807588364,0.42272780507473545,0.28045693117767323,0.531478135331786
"Crewe Bus Station, 5 - Chester Bus Interchange",5.551730512931582,0.020814230698697964,10906,0.7479517485652523,0.475896935030025,0.19134078010915423,0.5305801048676265
Speke - Seaforth,5.761692248013183,0.0,261,0.5,0.49592684894854866,0.1279098420962254,0.5299408849983307
Lyndhurst Road - Crosby Islington,5.743609033447168,0.0,261,0.5,0.494201747796252,0.1279098420962254,0.5290783344221823
Kingsway - Chester Bus Interchange,5.597997905532648,0.0,8948,0.5792906178726351,0.48031074829306425,0.14819394291982724,0.527203859876489
Whittle Street - Marshalls Cross Road,5.653142293782668,0.0,261,0.5,0.4855714085238833,0.1279098420962254,0.524763164785998
Rainford High School Internal Grounds - Mowbray Avenue,5.629680959199781,0.0,261,0.5,0.48333324587997933,0.1279098420962254,0.523644083464046
Queen Square - Crosby,5.061530479496785,0.0,28472,0.9017177970262947,0.42913286885987095,0.2306771620659792,0.5222357249464302
Paradise St - Garston Speke RdR,5.150454563118129,0.0,41032,0.8273671919801335,0.43761604194627585,0.2116568137635526,0.521722224414026
Rose Lane - Liverpool ONE Bus Station,5.497443201821501,0.0,157,0.5,0.47071803818017566,0.1279098420962254,0.5173364796141442
Hall Lane - James Holt Avenue,5.457492701499441,0.0,261,0.5,0.46690684333487764,0.1279098420962254,0.5154308821914952
Liverpool - Chester Railway Station,3.070851025782283,0.055327868852459015,976,2.483508144982185,0.23922617904432725,0.6353302693387219,0.5146136896437293
"Liverpool ONE, Stand 8 - Liverpool ONE, Stand 8",5.553733182685153,0.0007987220447284345,3756,0.4167778873021547,0.47608798556957055,0.10661998750803409,0.5144993091506117
Captains Lane - Kirkdale Station,5.434353381847363,0.0,261,0.5,0.4646994002472875,0.1279098420962254,0.5143271606477001
Liverpool - Croxteth,5.01979920790073,6.286540516753631e-05,15907,0.8019438793109241,0.42515179212960563,0.20515302994538953,0.5138484371998584
Kirkby - Halewood,5.074240607140996,0.0,3341,0.735057825861913,0.43034538866738753,0.1880422608751841,0.5121832595524898
Liverpool - Kirkby,4.530472019995104,0.0,41487,1.1379496295006324,0.37847099361203906,0.2911099148457682,0.5120129755174616
Paradise St - Towerhill,4.9711599634413925,0.0,31120,0.7987799902541969,0.4205117091201757,0.20434364484607762,0.5113417657716073
West Kirby - New Ferry,4.505318892380443,0.02857142857142857,525,1.2000934792649944,0.37607143742287213,0.30700753486699045,0.5076447452853265
The Gerard Centre - Garswood Station,5.277443144388862,0.0,140,0.5,0.4497304891359014,0.1279098420962254,0.506842705092007
Rainford High School Internal Grounds - St Helens Bridge St,5.238364663549244,0.0,261,0.5,0.4460024831400469,0.1279098420962254,0.5049787020940798
Longridge Avenue - Cowley College,5.212163373583956,0.0,261,0.5,0.4435029344372558,0.1279098420962254,0.5037289277426842
De La Salle School - Reeds Brow,5.177979610365344,0.0,261,0.5,0.4402418743473595,0.1279098420962254,0.5020983976977361
Eastham Rake - West Kirby,4.823843346802282,0.0017543859649122807,570,0.6648118146199747,0.4064580095310448,0.1700719484634921,0.49530839539016736
Moreton Cross - Eastham Rake Railway Station,5.057815804107806,0.0,3574,0.47603176189876617,0.42877849653461086,0.12177829499451831,0.494833822015935
Liverpool - Chester Railway Station via Zoo,4.75121095476317,0.004009870450339297,3242,0.6989330024324476,0.3995290300211619,0.17880081995395022,0.49346225238648367
Liverpool  - Rock Ferry Depot,4.627061385494509,0.005249343832020997,381,0.7642780796194324,0.3876854186864269,0.195517376963456,0.4914097176260722
Eastham Rake Railway Station - Arrowe Park Hospital,4.5029251853906755,0.0,149,0.8121610379090118,0.37584308274227957,0.2077667802312965,0.4898632364289639
"Chester Interchange, Stand A - Higher Kinnerton, Church",5.414158669543496,0.0017921146953405018,558,0.128564869306645,0.4627728665915306,0.03288942426426964,0.48916076068799763
"Hope Academy - West End Rd, Sumner St",4.891079802428137,0.0,261,0.5,0.41287222790206884,0.1279098420962254,0.48841357447509076
Mill Park - Woodchurch,2.687881718523733,0.20364238410596028,604,2.929696236024879,0.20269170167946784,0.7494739658796965,0.48780374628316797
Chalon Way Stand C7 - Rainford High School Internal Grounds,4.821239115325827,0.0,261,0.5,0.40620957125119805,0.1279098420962254,0.4850822461496554
Chester Bus Interchange - Rock Ferry Depot,5.1105150713855725,0.0,184,0.282842712474619,0.433805897297577,0.07235673338139322,0.4849921319941368
Maghull High School - Seaforth Station,4.814051949695264,0.0038314176245210726,522,0.5,0.40552393056127706,0.1279098420962254,0.4837815713985646
Tower Hill - Huyton,4.9161166218925505,0.0011051944137445997,9953,0.41199202443513716,0.41526068853500714,0.10539566958080528,0.48370296305926874
West Kirby - Eastham Rake,4.528700802829909,0.006042296072507553,662,0.67480863662311,0.37830202316922923,0.17262933231126232,0.4807977706443033
Coylton Avenue (Adjacent) St Anns - Prescot Bus Station,4.686818623330297,0.0,261,0.5,0.393386135197435,0.1279098420962254,0.47867052812277383
Town Lane - Columbia Road,4.683197573867794,0.0,145,0.5,0.3930406945913147,0.1279098420962254,0.4784978078197137
"Ellesmere Port - Neston, Brook Street",5.163349435005307,0.0,2007,0.13392857142857142,0.438846185971282,0.03426156484720324,0.4779884841974418
Gamble Avenue - Desford Ave,4.656504617832803,0.0,207,0.5,0.390494241965535,0.1279098420962254,0.47722458150682384
Suffield Road - Captains Lane,4.647412712756612,0.0,261,0.5,0.38962689308427,0.1279098420962254,0.47679090706619137
Boars Head Pub - Cowley College,4.628720546306874,0.0,261,0.5,0.38784369918566053,0.1279098420962254,0.47589931011688663
"Chester Bus Interchange, Stand K - Liverpool, Whitechapel",4.115163849153633,0.026048284625158832,1574,0.969016586792833,0.3388514557549093,0.24789351721058916,0.4748870360238122
Queen Square Bus Station - Minstead Avenue,4.511853717068375,0.12640185225381664,27642,1.0411016298411258,0.37669484614027976,0.26633429015820265,0.4733305325462364
"Ellesmere Port Bus Interchange - Ledsham, Bayweaver Street",4.567499133516822,0.0018656716417910447,536,0.5,0.38200330342174404,0.1279098420962254,0.4725126943244806
Lyndhurst Road - Park Lane West,4.5180324108214265,0.0,220,0.5,0.37728428070536585,0.1279098420962254,0.47061960087673926
Nantwich Bus Station - Crewe Bus Station,4.481419443825143,0.0,472,0.5,0.3737914796149563,0.1279098420962254,0.4688732003315345
Town Lane - Barton Street,4.4602488037146335,0.0,120,0.5,0.3717718444712062,0.1279098420962254,0.46786338275965944
Frankby Green - Kingsmead Road,4.417104473056525,0.0,102,0.5,0.3676559648380989,0.1279098420962254,0.46580544294310583
Hammond St - Berrys Lane,4.432421933083378,0.0038314176245210726,261,0.5,0.36911721874547904,0.1279098420962254,0.4655782154906656
"Rivacre, Naylor Place - Ellesmere Port Bus Interchange",4.354544713417941,0.0,217,0.5,0.3616878935615049,0.1279098420962254,0.4628214073048088
Sutherland Drive - Wirral Grammar School,4.255521171299909,0.0,184,0.5,0.3522412530878937,0.1279098420962254,0.4580980870680032
Brookway Lane - Regents Road,4.2285248861346405,0.0,261,0.5,0.3496658634924034,0.1279098420962254,0.45681039227025805
"New Ferry, Toll Bar - Eastham Rake",4.282028178482488,0.01818181818181818,110,0.5,0.35476996657894194,0.1279098420962254,0.4548169892680728
Rock Ferry Depot - Chester Bus Interchange,4.065914337214694,0.0,184,0.5,0.33415315449404925,0.1279098420962254,0.449054037771081
Brookway Lane - Clock face Rd Gorsey Rd,3.9926677031302584,0.0,261,0.5,0.32716557756741244,0.1279098420962254,0.44556024930776256
"Maghull High School - Stanley Road, Linacre Lane",3.9530087635902467,0.0,261,0.5,0.32338219701581983,0.1279098420962254,0.4436685590319663
Toll Bar - Rainford High,3.9183963813263136,0.0,217,0.5,0.32008024755825715,0.1279098420962254,0.44201758430318494
Chester - Wrexham,4.08125073617913,0.14699177725311405,24566,0.9467167859333367,0.33561621513678214,0.2421887891971583,0.4416073605544021
Parr - Allanson Primary,3.8759522945837848,0.0,261,0.5,0.31603116974189793,0.1279098420962254,0.43999304539500533
Maghull High School - Solar Road,3.8609584789893887,0.0,261,0.5,0.3146007908419082,0.1279098420962254,0.43927785594501045
"Ellesmere Port Bus Interchange, Stand G - Ellesmere Port Bus Interchange, Stand E",4.818767303918158,0.08422214049282825,2719,0.1102862769538819,0.40597376557118126,0.028213400541103238,0.43898469779765936
Crewe Bus Station - Nantwich Bus Station,3.84815052514229,0.0,323,0.5,0.3133789386175964,0.1279098420962254,0.43866692983285455
"Higher Kinnerton, Church - Chester Bus Interchange",3.8447681111034218,0.0,318,0.5,0.31305626333579323,0.1279098420962254,0.43850559219195295
West Kirby - Croft Retail Park,4.225735814994321,0.09884075655887736,1639,0.5798528272371528,0.34939979189211146,0.1483377671419082,0.4370741485918134
Rainford High School Internal Grounds - Newton Road,3.80406447894771,0.0,261,0.5,0.30917322127608987,0.1279098420962254,0.4365640711621013
Maghull High School - Bank Lane,3.77258180629599,0.0,261,0.5,0.30616983962231414,0.1279098420962254,0.43506238033521344
De La Salle School - Rothbury Court,3.7365111300575298,0.0,261,0.5,0.30272877194510855,0.1279098420962254,0.4333418464966106
Rainford Station - The Gerard Centre,4.22087045408164,0.000708215297450425,1412,0.07444572736922997,0.348935646555221,0.019044682465073706,0.4290519400695163
Liverpool - Knowsley,2.7820610520275424,0.006097560975609756,492,1.1551534203167624,0.21167621470157674,0.2955109831792636,0.42819146290170185
Liverpool - Heswall Bus Station,3.5312144829451118,0.009894459102902375,4548,0.5907286393241622,0.2831438977401726,0.15112001395534339,0.42687833758319654
Pilling Lane - Maghull Station,3.5393077067124015,0.08745247148288973,263,0.8812740725391308,0.28391597449653566,0.22544725492395545,0.42645668310853424
Liverpool - Kirkby Ind Est,4.103607986933798,0.20893278934936654,9314,0.9288685652975605,0.3377490504741202,0.23762286303071684,0.42604704365739765
Liverpool - Barnston,4.094577671646458,0.0030959752321981426,323,0.08247860988423225,0.336887577130931,0.02109965193321665,0.4229447077407201
Birkenhead Bus Station - West Kirby,3.535591757834253,0.0035087719298245615,285,0.5,0.2835614806830509,0.1279098420962254,0.42288100788312566
Halewood - Kirkby,4.091623991480349,0.0036452004860267314,823,0.07552680037953444,0.33660580217109354,0.019321242221158778,0.4222219115193298
Woodchurch High School - Egan Road,3.4723448084772843,0.0,102,0.5,0.2775278529330376,0.1279098420962254,0.4207413869905752
Fazakerley - Liverpool,3.4922599912479164,0.0038314176245210726,522,0.5,0.2794277200512646,0.1279098420962254,0.4207334661435584
"Ellesmere Port Bus Interchange - Rivacre, Naylor Place - Ellesmere Port Bus Interchange",4.505047448064189,0.0899830220713073,2356,0.06124781430047737,0.3760455421982678,0.015668396511825996,0.41944411470926357
Page Moss - St Helens,3.3919961595109496,0.002785515320334262,359,0.5,0.26986275852123975,0.1279098420962254,0.4162124609545927
Liverpool ONE - South Parkway,4.156225467175116,0.22891306689647742,18566,0.7989767966673752,0.34276864892349296,0.20439399180054393,0.41525455568776315
"Chester Interchange, Stand J - Pipers Ash, Crossley Crescent",3.821711757020254,0.08438698678789601,7039,0.46516671715705565,0.3108567349913482,0.11899880267995708,0.41408132146868937
Wirral Grammar School - Vicarage Row,3.3472639838081726,0.006896551724137931,145,0.5,0.26559540176517815,0.1279098420962254,0.41305102347561096
Hall Lane - Wadebridge Road,3.2364837030377926,0.0,261,0.5,0.25502719281587505,0.1279098420962254,0.4094910569319939
Kirkby Rail Stn - Kirkby Rail Stn,3.5291639145135503,0.11504424778761062,3616,0.7230918016621294,0.2829482777661223,0.18498111634335623,0.4089583560219976
Toll Bar - St Cuthberts Sch,3.23165353821167,0.0038314176245210726,261,0.5,0.25456640511262085,0.1279098420962254,0.4083028086742365
Chester Railway Station - Liverpool via Zoo,3.9529350076149035,0.2589928057553957,3197,0.9028893194128959,0.32337516084879386,0.2309768605529439,0.40468359412378396
Lotus Gardens - De La Salle School,3.1937620505827873,0.011494252873563218,261,0.5,0.250951635806412,0.1279098420962254,0.4045797152088716
Green Ln - St Helens,3.7488609624091334,0.0,771,0.023183828891362213,0.3039069203292162,0.005930879785360099,0.4034361801109481
Chester Railway Station - Liverpool,2.727424352740348,0.3215223097112861,762,2.0213893645320007,0.2064639869445074,0.5171111888645553,0.40212921326057105
Dalehead Place - Parish Primary Sch,3.0912426894385585,0.0038314176245210726,261,0.5,0.24117150145048827,0.1279098420962254,0.4016053568431702
Waterloo Station - Liverpool ONE Bus Station,2.9753636932711447,0.0,261,0.5,0.23011688563062874,0.1279098420962254,0.3970359033393707
Garswood Station - Rainford Station,3.157532437398004,0.0446927374301676,179,0.5,0.2474954058742742,0.1279098420962254,0.3945519791036516
Basildon Close - Hope Academy,2.952027680213985,0.011494252873563218,261,0.5,0.22789067840027416,0.1279098420962254,0.3930492365058026
Denton's Green Lane - Rainford High School,2.8908374148459326,0.0038314176245210726,261,0.5,0.2220532540357948,0.1279098420962254,0.3920462331358235
Aintree Hosp - Kirby Ind Est,2.6579440991117065,0.11496746203904555,922,1.1058512066676833,0.1998357148992321,0.28289850645356746,0.39190061855324654
Sutton High School - Leslie Road,2.8661836335230877,0.0,261,0.5,0.21970133444687176,0.1279098420962254,0.3918281277474922
Brook Hey Drive - Port of Liverpool,2.96098024575252,0.025210084033613446,119,0.5,0.22874473457873498,0.1279098420962254,0.3900473068050205
Gamble Avenue - Dalehead Place,2.8088203856926413,0.0,261,0.5,0.21422899961555486,0.1279098420962254,0.3890919603318338
Bootle - Jaguar Factory,2.802600031103258,0.0038314176245210726,261,0.5,0.2136355906931166,0.1279098420962254,0.38783740146448437
Wirral Grammar School - Moreton Station,2.771361922356827,0.0,142,0.5,0.21065553992850794,0.1279098420962254,0.38730523048831034
Chester - Saughall,2.9930537687925614,0.14256594724220623,8340,0.8727992240597958,0.2318044821337175,0.2232792218623931,0.38608055972190547
Chapel Lane - Maghull High School,2.815345901863812,0.014150943396226415,212,0.5,0.21485152031977595,0.1279098420962254,0.3858654848348877
Rainford High School Internal Grounds - Moss Bank Road,2.612270165033572,0.0038314176245210726,261,0.5,0.19547851634803035,0.1279098420962254,0.3787588642919413
Croxteth - Liverpool,2.8580880134328583,0.16204874374562867,18587,0.9249324299644813,0.2189290290862719,0.23661592213286978,0.37810630913994625
"Chester Interchange, Stand L - Vicar's Cross, Queens Road",3.308345963682879,0.13687671232876714,9125,0.45401714673051397,0.26188270338856184,0.1161465230945577,0.37575880438572856
Moreton Cross - Eastham,3.24258986443105,0.10975609756097561,1886,0.3942662996248642,0.25560970794431986,0.10086108025775896,0.3755810996463558
De La Salle School - The Scholes,2.481881579439528,0.0,261,0.5,0.1830397157999604,0.1279098420962254,0.37349731842403655
Ellesmere Port Bus Station - Liverpool,2.9437682030772603,0.09375,480,0.5167353846877019,0.2271027414173934,0.13219108292187248,0.3731616414391648
Liverpool - St Helens,2.974060498433085,0.15261044176706828,21414,0.7210848435765111,0.2299925635468202,0.1844676969597059,0.3729605955715695
South Parkway - Liverpool ONE,3.2984214783167176,0.24316775288898626,18259,0.8143617468481966,0.26093592807499055,0.20832976489711827,0.3717584670395283
Eastham - Liverpool,2.5845757625668666,0.06995884773662552,243,0.6331568320443972,0.19283652781036914,0.16197398081789033,0.36942204717550076
"Dodleston, Primary School - Chester Bus Interchange",2.4162872978795287,0.004464285714285714,224,0.5,0.1767821574277953,0.1279098420962254,0.3692524678093826
"Weston Grove, Shops - Chester Bus Interchange",2.733681577522664,0.20921610169491525,7552,1.01546233701944,0.20706091320685677,0.25977525436564125,0.3661702447711099
"Ledsham, Bayweaver Street - Ellesmere Port Bus Interchange",3.235116227207519,0.17364016736401675,478,0.5,0.2548967384587733,0.1279098420962254,0.36601578791243883
Upton Station - Eastham Ferry,2.3044124883852968,0.0,261,0.5,0.16610953270905887,0.1279098420962254,0.3650322268785858
Liverpool - Aintree Hosp,2.4623102948035513,0.6225245653817082,26460,2.7833130213546253,0.181172655850293,0.7120262581316764,0.36296175111263856
Kirkby Stn,2.5254333866344636,0.0860187769601624,3941,0.6165752596276117,0.18719446784928817,0.157732088198814,0.361525561734307
"Chester Interchange, Stand E - Weston Grove, Shops",2.7285784867216734,0.2150477259966311,7124,0.9630170520779098,0.2065740889318405,0.24635871813451587,0.36111479250039147
"Chester Interchange, Stand E - Chester Bus Interchange",2.7650759866236565,0.4267740312028183,1987,1.7280232233436303,0.21005587470101375,0.4420623552729885,0.3588500183680494
Chester Bus Interchange - Birkenhead Bus Station,3.0279549735303983,0.1676470588235294,340,0.5,0.23513398465606972,0.1279098420962254,0.35763268814620885
Upton (Zoo) Park & Ride - Upton (Zoo) Park & Ride,3.143959262237709,0.2209224149522657,7437,0.4796799579438617,0.24620055312429057,0.1227115753546468,0.34854756666274056
"Bootle Bus Station, Stand 1 - Bootle Bus Station, Stand 1",3.297056165510206,0.1363834422657952,2295,0.0,0.260805680065868,0.0,0.3463069794664852
Ferry Road - Bebington High School,2.448099012195315,0.10869565217391304,138,0.5,0.17981692897365922,0.1279098420962254,0.3447120119674077
Chester - City Tour,3.5132537998423854,0.29901079136690645,2224,0.20595343141355754,0.2814304858352573,0.05268694178256787,0.32913428052154403
Kirkdale Station - Maghull High School,2.388459746010047,0.17624521072796934,261,0.5,0.1741274667133547,0.1279098420962254,0.3249798911987414
Wrexham Road Circular,3.3118267228135987,0.22725277940315974,13672,0.0,0.2622147605880908,0.0,0.32429418544325544
Bootle  - Huyton,2.0003276750121413,0.11239193083573487,694,0.5,0.13710047239896267,0.1279098420962254,0.32242971401460396
"Liverpool ONE Bus Station - Bootle Bus Station, Stand 5",2.0978186644215246,0.2260536398467433,261,0.5,0.14640091052376056,0.1279098420962254,0.2986645058242508
Sutherland Drive - New Ferry Park,2.18694064415281,0.24427480916030533,131,0.5,0.1549029624884782,0.1279098420962254,0.2983602394782191
Hope Uni - Liverpool ONE,1.8162810165485062,0.25029797377830754,839,0.7388708674255324,0.11954280302370343,0.18901771196380193,0.2944513360582253
Frodsham - Chester Bus Interchange,1.9688348103047817,0.25512934879571814,1121,0.5,0.13409611844422437,0.1279098420962254,0.285243182547239
Cheshire Oaks Outlet Village - Chester Bus Interchange,2.4394610074635334,0.3485793485793486,1443,0.471613957751148,0.1789928812435424,0.12064813373265054,0.2825136369100967
Kirkbyt - Northwood,2.3285645844463843,0.34875259875259873,3848,0.5377393758723982,0.16841359256485822,0.13756431731352253,0.28140972592266006
Chester - Higher Kinnerton,2.637252630374306,0.4199812088944566,3193,0.5434322905414706,0.19786179171033827,0.1390206769462992,0.27869076286812977
Chester - Blacon Parade,1.847125672116581,0.6678123189804982,25895,2.038966523693571,0.12248531917139545,0.5216077721702687,0.27469152288314036
Maghull Station - Maghull Station,2.265118178129604,0.5036454610436025,6995,0.8540310955440107,0.16236093703469281,0.21847796515260162,0.2598885945445962
Elton Head Road - Cowley College,2.0780676558708753,0.39080459770114945,261,0.5,0.14451670528550714,0.1279098420962254,0.25653466374152256
Magdalene Square - Queen Square Bus Station,2.103880473854442,0.40625,128,0.5,0.14697919456720612,0.1279098420962254,0.2539045578076594
Huyton - Halewood,2.527685227939442,0.4078674948240166,966,0.08760614988151917,0.18740928883788097,0.02241137759600675,0.247340615111938
